????? ???????,??? ????????,???? ?????? ??????,?????? ??????,???? ?????,????? ??? ??? 30%,??? ????? ????????,????? ?????? / 12,????? ??????,,?? ???? ?????,????? ??????,????? ?????? 25 ?????,????? ??? ???? 50 ?????,????? ????? ????? 300 ????,????? ??????,????? ???????,
"20,000",10,10%,"2,000",,"5,400","25,400","2,117","21,167",,"200,000","254,000",250,500,"3,000",,,
"25,000",10,10%,"2,500",,"6,750","31,750","2,646","26,458",,"250,000","317,500",250,500,"3,000",,,
"30,000",5,10%,"3,000","3,000","7,200","37,200","3,100","15,500",,"150,000","186,000",125,250,"1,500",,,
"35,000",0,20%,"7,000","7,000","6,300","41,300","3,442",0,,0,0,0,0,0,,,
"40,000",0,20%,"8,000","8,000","7,200","47,200","3,933",0,,0,0,0,0,0,,,
"45,000",0,20%,"9,000","9,000","8,100","53,100","4,425",0,,0,0,0,0,0,,,
"50,000",0,20%,"10,000","10,000","9,000","59,000","4,917",0,,0,0,0,0,0,,,
,25,,,,,,,"63,125",,"600,000","757,500",625,"1,250","7,500","60,000","9,000","79,125"
,,,,,,,,,,,,,,,,,
????? ???????,??? ????????,???? ?????? ??????,?????? ??????,???? ?????,????? ??? ??? 50%,??? ????? ????????,????? ?????? / 24,????? ??????,,?? ???? ?????,????? ??????,????? ?????? 25 ?????,????? ??? ???? 50 ?????,????? ????? ????? 300 ????,????? ??????,????? ???????,
"20,000",10,,0,,"10,000","30,000","1,250","12,500",,"200,000","150,000",250,500,"3,000",,,
"25,000",10,,0,,"12,500","37,500","1,563","15,625",,"250,000","187,500",250,500,"3,000",,,
"30,000",5,10%,"3,000","3,000","12,000","42,000","1,750","8,750",,"150,000","105,000",125,250,"1,500",,,
"35,000",5,20%,"7,000","7,000","10,500","45,500","1,896","9,479",,"175,000","113,750",125,250,"1,500",,,
"40,000",3,20%,"8,000","8,000","12,000","52,000","2,167","6,500",,"120,000","78,000",75,150,900,,,
"45,000",1,20%,"9,000","9,000","13,500","58,500","2,438","2,438",,"45,000","29,250",25,50,300,,,
"50,000",1,20%,"10,000","10,000","15,000","65,000","2,708","2,708",,"50,000","32,500",25,50,300,,,
,35,,,,,,,"58,000",,"990,000","696,000",875,"1,750","10,500",,,"-307,125"
,,,,,,,,,,,,,,,,,
????? ???????,??? ????????,???? ?????? ??????,?????? ??????,???? ?????,????? ??? ??? 65%,??? ????? ????????,????? ?????? / 36,????? ??????,,?? ???? ?????,????? ??????,????? ?????? 25 ?????,????? ??? ???? 50 ?????,????? ????? ????? 300 ????,????? ??????,????? ???????,
"20,000",10,,0,,"13,000","33,000",917,"9,167",,"200,000","110,000",250,500,"3,000",,,
"25,000",10,,0,,"16,250","41,250","1,146","11,458",,"250,000","137,500",250,500,"3,000",,,
"30,000",3,10%,"3,000","3,000","15,600","45,600","1,267","3,800",,"90,000","45,600",75,150,900,,,
"35,000",3,10%,"3,500","3,500","18,200","53,200","1,478","4,433",,"105,000","53,200",75,150,900,,,
"40,000",2,15%,"6,000","6,000","18,200","58,200","1,617","3,233",,"80,000","38,800",50,100,600,,,
"45,000",2,15%,"6,750","6,750","20,475","65,475","1,819","3,638",,"90,000","43,650",50,100,600,,,
"50,000",0,20%,"10,000","10,000","19,500","69,500","1,931",0,,0,0,0,0,0,,,
,30,,,,,,,"35,729",,"815,000","428,750",750,"1,500","9,000",,,"-397,500"
,,,,,,,??? ????,"156,854",,"2,405,000","1,882,250","2,250","4,500","27,000",,,
????? ????? ???? ????? ??????,,,,,,,,,,,,,,,,,
,????? ?????????,,"2,405,000",,,,,,,,,,,,,,
,????? ?????? ,,"1,882,250",,,,,,,,,,,,,,
,?????,,"60,000",,,,,,,,,,,,,,
,?????,,"9,000",,,,,,,,,,,,,,
,????? ?????,,"27,000",,,,,,,,,,,,,,
,????? ???? ?????,,"4,500",,,,,,,,,,,,,,
,????? ??????,,"2,250",,,,,,,,,,,,,,
,?????? ???????,,"102,750",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,?????,,"-420,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
